fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.well_field.capital_a_parameter[default],fs.costing.well_field.capital_b_parameter[default],fs.costing.well_field.pipe_cost_basis[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.pipe_distance[0.0],fs.unit.pipe_diameter[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[WellFieldZO],fs.costing.LCOW_aggregate_indirect_capex[WellFieldZO],fs.costing.LCOW_aggregate_fixed_opex[WellFieldZO],fs.costing.LCOW_aggregate_variable_opex[WellFieldZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.pipe_cost,fs.unit.costing.well_cost,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,pipe_distance,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,453830.4610057828,0.0,0.0,1.6145994443089773,1106.0771322293162,477202.7297475807,7868.151001215481,4731.6,0.9196,35000.0,4.381263638888887,0.0004381263638888888,1.6145994443089773,1.0,8.0,453830.4610057828,1.0515,0.014900000000000002,453830.4610057828,6762.073868986165,6762.073868986165,1106.0771322293162,38910.87339552099,680.7456915086742,22691.523050289143,453.8304610057828,408.4474149052046,3630.6436880462625,1361.4913830173484,907.6609220115656,0.2814000676302762,0.21350288234544818,0.010995398440790624,0.048902732784010604,0.007999054060026815,0.21350288234544818,0.010995398440790624,0.048902732784010604,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,374726.6018114726,79103.85919431018,1.0,453830.4610057828,100,0.9,0.9,0.1,1,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9447268.904481126,0.0,0.0,1.6145994443089773,1106.0771322293162,9933803.253061906,141870.3838089981,4731.6,0.9196,35000.0,4.381263638888887,0.0004381263638888888,1.6145994443089773,25.0,8.0,9447268.904481126,1.0515,0.014900000000000002,9447268.904481126,140764.30667676879,140764.30667676879,1106.0771322293162,788078.5412257949,14170.903356721688,472363.4452240563,9447.268904481127,8502.542014033013,75578.15123584901,28341.806713443377,18894.537808962254,5.699315781085382,4.444433141242019,0.22888830677396524,1.0179952790093705,0.007999054060026815,4.444433141242019,0.22888830677396524,1.0179952790093705,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,9368165.045286816,79103.85919431018,1.0,9447268.904481126,100,0.9,0.9,0.1,25,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,18815433.94976794,0.0,0.0,1.6145994443089773,1106.0771322293162,19784428.79818099,281456.04298377165,4731.6,0.9196,35000.0,4.381263638888887,0.0004381263638888888,1.6145994443089773,50.0,8.0,18815433.94976794,1.0515,0.014900000000000002,18815433.94976794,280349.9658515423,280349.9658515423,1106.0771322293162,1568461.5285489964,28223.15092465191,940771.697488397,18815.43394976794,16933.89055479115,150523.47159814351,56446.30184930382,37630.86789953588,11.342977982601113,8.851652160925946,0.45586008628768737,2.027466681327453,0.007999054060026815,8.851652160925946,0.45586008628768737,2.027466681327453,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,18736330.09057363,79103.85919431018,1.0,18815433.94976794,100,0.9,0.9,0.1,50,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,37551764.04034157,0.0,0.0,1.6145994443089773,1106.0771322293162,39485679.888419166,560627.3613333189,4731.6,0.9196,35000.0,4.381263638888887,0.0004381263638888888,1.6145994443089773,100.0,8.0,37551764.04034157,1.0515,0.014900000000000002,37551764.04034157,559521.2842010895,559521.2842010895,1106.0771322293162,3129227.5031954003,56327.64606051236,1877588.2020170786,37551.76404034157,33796.58763630742,300414.1123227326,112655.29212102472,75103.52808068314,22.630302385632582,17.6660902002938,0.9098036453151332,4.04640948596362,0.007999054060026815,17.6660902002938,0.9098036453151332,4.04640948596362,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,37472660.18114726,79103.85919431018,1.0,37551764.04034157,100,0.9,0.9,0.1,100,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1120660.6856885785,0.0,0.0,18.525404150492477,12690.779727683734,1178374.7110015405,29388.623944443556,4731.6,0.9196,35000.0,50.2692354356725,0.00502692354356725,18.525404150492477,1.0,8.0,1120660.6856885785,1.0515,0.014900000000000002,1120660.6856885785,16697.844216759822,16697.844216759822,12690.779727683734,106043.58995739993,1680.9910285328679,56033.034284428926,1120.6606856885785,1008.5946171197207,8965.285485508628,3361.9820570657357,2241.321371377157,0.06683973932178376,0.04594955863006891,0.00236640226944855,0.01052472436223948,0.007999054060026814,0.04594955863006891,0.00236640226944855,0.01052472436223948,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.05027426235921607,374726.6018114726,745934.083877106,1.0,1120660.6856885785,100,0.9,0.9,1.1473684210526316,1,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10114099.12916392,0.0,0.0,18.525404150492477,12690.779727683734,10634975.234315865,163390.85675222616,4731.6,0.9196,35000.0,50.2692354356725,0.00502692354356725,18.525404150492477,25.0,8.0,10114099.12916392,1.0515,0.014900000000000002,10114099.12916392,150700.07702454244,150700.07702454244,12690.779727683734,855211.2577876737,15171.148693745881,505704.95645819604,10114.09912916392,9102.689216247529,80912.79303331136,30342.297387491762,20228.19825832784,0.5390434024210818,0.4147003610109626,0.021357068592064692,0.0949869187580277,0.007999054060026814,0.4147003610109626,0.021357068592064692,0.0949869187580277,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.05027426235921607,9368165.045286816,745934.083877106,1.0,10114099.12916392,100,0.9,0.9,1.1473684210526316,25,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,19482264.174450736,0.0,0.0,18.525404150492477,12690.779727683734,20485600.779434953,302976.51592699974,4731.6,0.9196,35000.0,50.2692354356725,0.00502692354356725,18.525404150492477,50.0,8.0,19482264.174450736,1.0515,0.014900000000000002,19482264.174450736,290285.736199316,290285.736199316,12690.779727683734,1635594.2451108757,29223.396261676105,974113.2087225369,19482.26417445074,17534.037757005666,155858.1133956059,58446.79252335221,38964.52834890148,1.0309222181495172,0.7988157801577268,0.041139012678123185,0.18296837125364043,0.007999054060026814,0.7988157801577268,0.041139012678123185,0.18296837125364043,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.05027426235921607,18736330.09057363,745934.083877106,1.0,19482264.174450736,100,0.9,0.9,1.1473684210526316,50,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,38218594.26502437,0.0,0.0,18.525404150492477,12690.779727683734,40186851.86967313,582147.834276547,4731.6,0.9196,35000.0,50.2692354356725,0.00502692354356725,18.525404150492477,100.0,8.0,38218594.26502437,1.0515,0.014900000000000002,38218594.26502437,569457.0545488632,569457.0545488632,12690.779727683734,3196360.2197572794,57327.89139753656,1910929.7132512187,38218.594265024374,34396.73483852194,305748.754120195,114655.78279507312,76437.18853004875,2.014679849606388,1.5670466184512557,0.08070290085023987,0.3589312762448659,0.007999054060026814,1.5670466184512557,0.08070290085023987,0.3589312762448659,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.05027426235921607,37472660.18114726,745934.083877106,1.0,38218594.26502437,100,0.9,0.9,1.1473684210526316,100,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1729083.0394444128,0.0,0.0,35.436208856675975,24275.482323138152,1818130.8159758002,50038.81961085991,4731.6,0.9196,35000.0,96.1572072324561,0.00961572072324561,35.436208856675975,1.0,8.0,1729083.0394444128,1.0515,0.014900000000000002,1729083.0394444128,25763.337287721755,25763.337287721755,24275.482323138152,168310.83835375993,2593.6245591666193,86454.15197222064,1729.0830394444129,1556.1747354999716,13832.664315555303,5187.249118333239,3458.1660788888257,0.05546038084676528,0.03706324982699532,0.0019087573660902617,0.008489319593652884,0.007999054060026815,0.03706324982699532,0.0019087573660902617,0.008489319593652884,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.09616682295317935,374726.6018114726,1354356.4376329402,1.0,1729083.0394444128,100,0.9,0.9,2.194736842105263,1,default,WellFieldZO,well_field
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10722521.482919756,0.0,0.0,35.436208856675975,24275.482323138152,11274731.339290125,184041.05241864256,4731.6,0.9196,35000.0,96.1572072324561,0.00961572072324561,35.436208856675975,25.0,8.0,10722521.482919756,1.0515,0.014900000000000002,10722521.482919756,159765.5700955044,159765.5700955044,24275.482323138152,917478.5061840338,16083.782224379634,536126.0741459879,10722.521482919756,9650.269334627781,85780.17186335805,32167.56444875927,21445.04296583951,0.30231984980515136,0.22983944867360168,0.011836731606690524,0.05264461546483235,0.007999054060026815,0.22983944867360168,0.011836731606690524,0.05264461546483235,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.09616682295317935,9368165.045286816,1354356.4376329402,1.0,10722521.482919756,100,0.9,0.9,2.194736842105263,25,default,WellFieldZO,well_field
