fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.well_field.capital_a_parameter[default],fs.costing.well_field.capital_b_parameter[default],fs.costing.well_field.pipe_cost_basis[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.pipe_distance[0.0],fs.unit.pipe_diameter[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[WellFieldZO],fs.costing.LCOW_aggregate_indirect_capex[WellFieldZO],fs.costing.LCOW_aggregate_fixed_opex[WellFieldZO],fs.costing.LCOW_aggregate_variable_opex[WellFieldZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.pipe_cost,fs.unit.costing.well_cost,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit,fs.costing.well_field.capital_a_parameter[emwd],fs.costing.well_field.capital_b_parameter[emwd],fs.costing.well_field.pipe_cost_basis[emwd]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,79103.85919431018,0.0,0.0,1.6145994443089773,1106.0771322293162,83177.70794281716,2284.724634224538,4731.6,0.9196,35000.0,4.381263638888887,0.0004381263638888888,1.6145994443089773,0.0,8.0,79103.85919431018,1.0515,0.0149,79103.85919431018,1178.6475019952218,1178.6475019952218,1106.0771322293162,7695.553902592913,118.65578879146527,3955.192959715509,79.10385919431017,71.19347327487917,632.8308735544814,237.31157758293054,158.20771838862035,0.05565357956964684,0.037214121558091055,0.0019165272602416942,0.008523876691287275,0.007999054060026815,0.037214121558091055,0.0019165272602416942,0.008523876691287275,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,0.0,79103.85919431018,1.0,79103.85919431018,100,0.9,0.9,0.1,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,614407.5812510537,0.0,0.0,15.002319836704247,10277.300020297396,646049.5716854831,19431.972980938095,4731.6,0.9196,35000.0,40.70924131134258,0.004070924131134258,15.002319836704247,0.0,8.0,614407.5812510537,1.0515,0.0149,614407.5812510537,9154.6729606407,9154.6729606407,10277.300020297396,61458.42475207678,921.6113718765806,30720.37906255269,614.4075812510538,552.9668231259484,4915.26065000843,1843.2227437531612,1228.8151625021076,0.04783447608467563,0.031108068366851715,0.0016020655208928696,0.007125288136904234,0.007999054060026814,0.031108068366851715,0.0016020655208928696,0.007125288136904234,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.04071331223547372,0.0,614407.5812510537,1.0,614407.5812510537,100,0.9,0.9,0.9291666666666666,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1104568.728464254,0.0,0.0,28.390040229099515,19448.522908365474,1161454.0179801632,35906.59696248286,4731.6,0.9196,35000.0,77.03721898379627,0.007703721898379629,28.390040229099515,0.0,8.0,1104568.728464254,1.0515,0.0149,1104568.728464254,16458.074054117384,16458.074054117384,19448.522908365474,111460.84761184582,1656.853092696381,55228.4364232127,1104.568728464254,994.1118556178286,8836.549827714032,3313.706185392762,2209.137456928508,0.04584313933887831,0.02955300414307227,0.00152197971336823,0.006769101422410998,0.007999054060026815,0.02955300414307227,0.00152197971336823,0.006769101422410998,0.007999054060026815,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.07704492270569464,0.0,1104568.728464254,1.0,1104568.728464254,100,0.9,0.9,1.7583333333333333,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,1575732.343113012,0.0,0.0,41.77776062149479,28619.74579643356,1656882.5587833321,52098.15770881744,4731.6,0.9196,35000.0,113.36519665624996,0.011336519665624998,41.77776062149479,0.0,8.0,1575732.343113012,1.0515,0.0149,1575732.343113012,23478.41191238388,23478.41191238388,28619.74579643356,159880.7459171539,2363.598514669518,78786.6171556506,1575.732343113012,1418.1591088017108,12605.858744904095,4727.197029339036,3151.464686226024,0.04468574734539027,0.028649179671515413,0.001475432753083047,0.006562080860764999,0.007999054060026815,0.028649179671515413,0.001475432753083047,0.006562080860764999,0.007999054060026815,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.11337653317591559,0.0,1575732.343113012,1.0,1575732.343113012,100,0.9,0.9,2.5875,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2034691.7888587432,0.0,0.0,55.16548101389004,37790.968684501626,2139478.4159849687,68107.8763384969,4731.6,0.9196,35000.0,149.69317432870363,0.014969317432870366,55.16548101389004,0.0,8.0,2034691.7888587432,1.0515,0.0149,2034691.7888587432,30316.907653995273,30316.907653995273,37790.968684501626,207284.01762159605,3052.0376832881147,101734.58944293717,2034.6917888587432,1831.222609972869,16277.534310869945,6104.0753665762295,4069.3835777174863,0.04387492886401421,0.02801599956522342,0.0014428239776090085,0.006417051261154963,0.007999054060026814,0.02801599956522342,0.0014428239776090085,0.006417051261154963,0.007999054060026814,0.007999054060026814,0.10235745599986286,0.10235745599986286,0.1497081436461365,0.0,2034691.7888587432,1.0,2034691.7888587432,100,0.9,0.9,3.4166666666666665,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2484691.037338381,0.0,0.0,68.55320140628531,46962.1915725697,2612652.6257613082,83984.08802891159,4731.6,0.9196,35000.0,186.02115200115733,0.018602115200115732,68.55320140628531,0.0,8.0,2484691.037338381,1.0515,0.0149,2484691.037338381,37021.89645634188,37021.89645634188,46962.1915725697,253940.89070093745,3727.036556007572,124234.55186691906,2484.691037338381,2236.221933604543,19877.52829870705,7454.073112015144,4969.382074676762,0.04325366523044933,0.027530845634261763,0.0014178385501644874,0.006305926985996267,0.007999054060026814,0.027530845634261763,0.0014178385501644874,0.006305926985996267,0.007999054060026814,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.18603975411635745,0.0,2484691.037338381,1.0,2484691.037338381,100,0.9,0.9,4.245833333333333,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,2927633.177215831,0.0,0.0,81.94092179868058,56133.41446063778,3078406.2858424466,99755.14880115367,4731.6,0.9196,35000.0,222.349129673611,0.022234912967361103,81.94092179868058,0.0,8.0,2927633.177215831,1.0515,0.0149,2927633.177215831,43621.73434051588,43621.73434051588,56133.41446063778,300009.8954553489,4391.449765823746,146381.65886079156,2927.633177215831,2634.869859494248,23421.065417726648,8782.899531647492,5855.266354431662,0.04275163724403631,0.027138804578094568,0.0013976484357718726,0.006216130170143049,0.007999054060026814,0.027138804578094568,0.0013976484357718726,0.006216130170143049,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.22237136458657836,0.0,2927633.177215831,1.0,2927633.177215831,100,0.9,0.9,5.074999999999999,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3364768.0233455654,0.0,0.0,95.32864219107586,65304.63734870587,3538053.5765478625,115439.68089655481,4731.6,0.9196,35000.0,258.6771073460647,0.025867710734606475,95.32864219107586,0.0,8.0,3364768.0233455654,1.0515,0.0149,3364768.0233455654,50135.04354784892,50135.04354784892,65304.63734870587,345595.1434418984,5047.152035018348,168238.4011672783,3364.7680233455653,3028.2912210110094,26918.144186764523,10094.304070036696,6729.536046691131,0.04233136186812082,0.026810605340772734,0.0013807461750497988,0.006140956292271475,0.007999054060026815,0.026810605340772734,0.0013807461750497988,0.006140956292271475,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.2587029750567993,0.0,3364768.0233455654,1.0,3364768.0233455654,100,0.9,0.9,5.904166666666666,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,3796978.0383124687,0.0,0.0,108.7163625834711,74475.86023677394,3992522.4072855613,131050.83300762973,4731.6,0.9196,35000.0,295.00508501851834,0.029500508501851843,108.7163625834711,0.0,8.0,3796978.0383124687,1.0515,0.0149,3796978.0383124687,56574.972770855784,56574.972770855784,74475.86023677394,390770.1451917159,5695.467057468703,189848.90191562346,3796.978038312469,3417.280234481222,30375.82430649975,11390.934114937407,7593.956076624938,0.0419705325523671,0.026528828408265637,0.0013662346630256856,0.006076415421048963,0.007999054060026814,0.026528828408265637,0.0013662346630256856,0.006076415421048963,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.29503458552702017,0.0,3796978.0383124687,1.0,3796978.0383124687,100,0.9,0.9,6.7333333333333325,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,4224918.757713172,0.0,0.0,122.10408297586639,83647.08312484203,4442502.0737354,146598.37261476828,4731.6,0.9196,35000.0,331.3330626909721,0.03313330626909721,122.10408297586639,0.0,8.0,4224918.757713172,1.0515,0.0149,4224918.757713172,62951.28948992626,62951.28948992626,83647.08312484203,435589.5078583607,6337.378136569758,211245.93788565858,4224.9187577131715,3802.426881941855,33799.35006170537,12674.756273139516,8449.837515426343,0.04165481797063061,0.026282282236695178,0.001353537535189807,0.006019944138718811,0.007999054060026814,0.026282282236695178,0.001353537535189807,0.006019944138718811,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.3313661959972412,0.0,4224918.757713172,1.0,4224918.757713172,100,0.9,0.9,7.562499999999999,default,WellFieldZO,well_field,,,
