# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed
7.000000e+01,2.000000e-01,2.968969e+00,5.937937e-01,7.985376e+00,1.597075e+00
7.000000e+01,2.500000e-01,2.403606e+00,6.009015e-01,7.095258e+00,1.773814e+00
7.000000e+01,3.000000e-01,2.552091e+00,7.656272e-01,8.490566e+00,2.547170e+00
7.000000e+01,3.500000e-01,2.499591e+00,8.748567e-01,8.915603e+00,3.120461e+00
7.000000e+01,4.000000e-01,2.431113e+00,9.724451e-01,8.922797e+00,3.569119e+00
7.000000e+01,4.500000e-01,2.375172e+00,1.068827e+00,8.886951e+00,3.999128e+00
7.000000e+01,5.000000e-01,2.363899e+00,1.181950e+00,9.039563e+00,4.519782e+00
7.000000e+01,5.500000e-01,2.427290e+00,1.335009e+00,9.536634e+00,5.245149e+00
7.000000e+01,6.000000e-01,2.610118e+00,1.566071e+00,1.047245e+01,6.283471e+00
7.000000e+01,6.500000e-01,2.926284e+00,1.902084e+00,1.195232e+01,7.769010e+00
8.722222e+01,2.000000e-01,5.314299e+00,1.062860e+00,1.768362e+01,3.536723e+00
8.722222e+01,2.500000e-01,4.594403e+00,1.148601e+00,1.566569e+01,3.916423e+00
8.722222e+01,3.000000e-01,4.121239e+00,1.236372e+00,1.439481e+01,4.318443e+00
8.722222e+01,3.500000e-01,3.823637e+00,1.338273e+00,1.360258e+01,4.760904e+00
8.722222e+01,4.000000e-01,3.663572e+00,1.465429e+00,1.348589e+01,5.394356e+00
8.722222e+01,4.500000e-01,3.641745e+00,1.638785e+00,1.382117e+01,6.219525e+00
8.722222e+01,5.000000e-01,3.754552e+00,1.877276e+00,1.455739e+01,7.278695e+00
8.722222e+01,5.500000e-01,3.994999e+00,2.197249e+00,1.586306e+01,8.724684e+00
8.722222e+01,6.000000e-01,4.413531e+00,2.648119e+00,1.786633e+01,1.071980e+01
8.722222e+01,6.500000e-01,5.107131e+00,3.319635e+00,2.100448e+01,1.365291e+01
1.044444e+02,2.000000e-01,7.551044e+00,1.510209e+00,2.547174e+01,5.094349e+00
1.044444e+02,2.500000e-01,6.493061e+00,1.623265e+00,2.266793e+01,5.666982e+00
1.044444e+02,3.000000e-01,5.884230e+00,1.765269e+00,2.118290e+01,6.354871e+00
1.044444e+02,3.500000e-01,5.592454e+00,1.957359e+00,2.072827e+01,7.254896e+00
1.044444e+02,4.000000e-01,5.494641e+00,2.197856e+00,2.079198e+01,8.316791e+00
1.044444e+02,4.500000e-01,5.571882e+00,2.507347e+00,2.160349e+01,9.721569e+00
1.044444e+02,5.000000e-01,5.843773e+00,2.921887e+00,2.309999e+01,1.155000e+01
1.044444e+02,5.500000e-01,6.346734e+00,3.490704e+00,2.553513e+01,1.404432e+01
1.044444e+02,6.000000e-01,7.148733e+00,4.289240e+00,2.924864e+01,1.754918e+01
1.044444e+02,6.500000e-01,8.425969e+00,5.476880e+00,3.485896e+01,2.265832e+01
1.216667e+02,2.000000e-01,1.038414e+01,2.076829e+00,3.680899e+01,7.361799e+00
1.216667e+02,2.500000e-01,9.138988e+00,2.284747e+00,3.323315e+01,8.308286e+00
1.216667e+02,3.000000e-01,8.417896e+00,2.525369e+00,3.127061e+01,9.381182e+00
1.216667e+02,3.500000e-01,8.080586e+00,2.828205e+00,3.074287e+01,1.076000e+01
1.216667e+02,4.000000e-01,8.055300e+00,3.222120e+00,3.121868e+01,1.248747e+01
1.216667e+02,4.500000e-01,8.284757e+00,3.728141e+00,3.274924e+01,1.473716e+01
1.216667e+02,5.000000e-01,8.791105e+00,4.395552e+00,3.531150e+01,1.765575e+01
1.216667e+02,5.500000e-01,9.663217e+00,5.314770e+00,3.941455e+01,2.167801e+01
1.216667e+02,6.000000e-01,1.103196e+01,6.619176e+00,4.545649e+01,2.727389e+01
1.216667e+02,6.500000e-01,nan,nan,nan,nan
1.388889e+02,2.000000e-01,1.427399e+01,2.854799e+00,5.227900e+01,1.045580e+01
1.388889e+02,2.500000e-01,1.261542e+01,3.153855e+00,4.728036e+01,1.182009e+01
1.388889e+02,3.000000e-01,1.178237e+01,3.534712e+00,4.496283e+01,1.348885e+01
1.388889e+02,3.500000e-01,1.140961e+01,3.993363e+00,4.440545e+01,1.554191e+01
1.388889e+02,4.000000e-01,1.147547e+01,4.590189e+00,4.536188e+01,1.814475e+01
1.388889e+02,4.500000e-01,1.191547e+01,5.361963e+00,4.781195e+01,2.151538e+01
1.388889e+02,5.000000e-01,1.276839e+01,6.384193e+00,5.194126e+01,2.597063e+01
1.388889e+02,5.500000e-01,1.415445e+01,7.784949e+00,5.816749e+01,3.199212e+01
1.388889e+02,6.000000e-01,nan,nan,nan,nan
