# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed
7.000000e+01,2.000000e-01,1.980757e+00,3.961514e-01,7.787075e+00,1.557415e+00
7.000000e+01,2.500000e-01,1.659976e+00,4.149941e-01,6.947558e+00,1.736890e+00
7.000000e+01,3.000000e-01,1.971489e+00,5.914467e-01,8.376464e+00,2.512939e+00
7.000000e+01,3.500000e-01,2.035411e+00,7.123939e-01,8.825384e+00,3.088884e+00
7.000000e+01,4.000000e-01,2.054231e+00,8.216925e-01,8.850816e+00,3.540327e+00
7.000000e+01,4.500000e-01,2.056381e+00,9.253716e-01,8.655916e+00,3.895162e+00
7.000000e+01,5.000000e-01,2.089879e+00,1.044939e+00,8.650813e+00,4.325406e+00
7.000000e+01,5.500000e-01,2.195355e+00,1.207445e+00,9.235827e+00,5.079705e+00
7.000000e+01,6.000000e-01,2.396435e+00,1.437861e+00,1.004512e+01,6.027075e+00
7.000000e+01,6.500000e-01,2.723998e+00,1.770599e+00,1.147812e+01,7.460780e+00
8.722222e+01,2.000000e-01,4.325759e+00,8.651518e-01,1.748683e+01,3.497366e+00
8.722222e+01,2.500000e-01,3.850422e+00,9.626055e-01,1.551850e+01,3.879624e+00
8.722222e+01,3.000000e-01,3.521236e+00,1.056371e+00,1.390406e+01,4.171219e+00
8.722222e+01,3.500000e-01,3.327325e+00,1.164564e+00,1.296856e+01,4.538997e+00
8.722222e+01,4.000000e-01,3.250169e+00,1.300068e+00,1.292946e+01,5.171785e+00
8.722222e+01,4.500000e-01,3.295777e+00,1.483100e+00,1.314836e+01,5.916764e+00
8.722222e+01,5.000000e-01,3.437389e+00,1.718694e+00,1.392701e+01,6.963504e+00
8.722222e+01,5.500000e-01,3.704326e+00,2.037379e+00,1.510510e+01,8.307802e+00
8.722222e+01,6.000000e-01,4.135032e+00,2.481019e+00,1.711961e+01,1.027177e+01
8.722222e+01,6.500000e-01,4.815309e+00,3.129951e+00,2.027751e+01,1.318038e+01
1.044444e+02,2.000000e-01,6.495670e+00,1.299134e+00,2.411045e+01,4.822090e+00
1.044444e+02,2.500000e-01,5.681100e+00,1.420275e+00,2.153246e+01,5.383115e+00
1.044444e+02,3.000000e-01,5.241395e+00,1.572419e+00,2.032457e+01,6.097370e+00
1.044444e+02,3.500000e-01,5.050714e+00,1.767750e+00,1.952070e+01,6.832246e+00
1.044444e+02,4.000000e-01,5.021436e+00,2.008574e+00,1.985347e+01,7.941388e+00
1.044444e+02,4.500000e-01,5.152586e+00,2.318664e+00,2.051057e+01,9.229757e+00
1.044444e+02,5.000000e-01,5.453513e+00,2.726756e+00,2.203896e+01,1.101948e+01
1.044444e+02,5.500000e-01,5.955291e+00,3.275410e+00,2.447166e+01,1.345941e+01
1.044444e+02,6.000000e-01,6.752804e+00,4.051682e+00,2.839181e+01,1.703508e+01
1.044444e+02,6.500000e-01,8.143033e+00,5.292971e+00,3.428556e+01,2.228561e+01
1.216667e+02,2.000000e-01,9.278566e+00,1.855713e+00,3.534260e+01,7.068521e+00
1.216667e+02,2.500000e-01,8.237447e+00,2.059362e+00,3.120813e+01,7.802031e+00
1.216667e+02,3.000000e-01,7.681036e+00,2.304311e+00,2.981875e+01,8.945626e+00
1.216667e+02,3.500000e-01,7.454345e+00,2.609021e+00,2.912433e+01,1.019352e+01
1.216667e+02,4.000000e-01,7.487875e+00,2.995150e+00,2.973173e+01,1.189269e+01
1.216667e+02,4.500000e-01,7.747078e+00,3.486185e+00,3.112605e+01,1.400672e+01
1.216667e+02,5.000000e-01,8.267886e+00,4.133943e+00,3.397467e+01,1.698733e+01
1.216667e+02,5.500000e-01,9.142482e+00,5.028365e+00,3.828709e+01,2.105790e+01
1.216667e+02,6.000000e-01,1.078649e+01,6.471894e+00,4.501356e+01,2.700813e+01
1.216667e+02,6.500000e-01,nan,nan,nan,nan
1.388889e+02,2.000000e-01,1.301077e+01,2.602155e+00,4.979931e+01,9.959862e+00
1.388889e+02,2.500000e-01,1.161683e+01,2.904209e+00,4.471835e+01,1.117959e+01
1.388889e+02,3.000000e-01,1.091261e+01,3.273784e+00,4.289221e+01,1.286766e+01
1.388889e+02,3.500000e-01,1.064658e+01,3.726302e+00,4.234004e+01,1.481902e+01
1.388889e+02,4.000000e-01,1.075294e+01,4.301177e+00,4.341326e+01,1.736530e+01
1.388889e+02,4.500000e-01,1.121991e+01,5.048961e+00,4.624745e+01,2.081135e+01
1.388889e+02,5.000000e-01,1.211539e+01,6.057696e+00,5.053666e+01,2.526833e+01
1.388889e+02,5.500000e-01,1.400918e+01,7.705047e+00,5.804957e+01,3.192727e+01
1.388889e+02,6.000000e-01,nan,nan,nan,nan
1.388889e+02,6.500000e-01,nan,nan,nan,nan
1.561111e+02,2.000000e-01,1.779014e+01,3.558028e+00,6.896379e+01,1.379276e+01
1.561111e+02,2.500000e-01,1.595021e+01,3.987552e+00,6.252696e+01,1.563174e+01
1.561111e+02,3.000000e-01,1.504618e+01,4.513853e+00,5.977697e+01,1.793309e+01
1.561111e+02,3.500000e-01,1.475774e+01,5.165209e+00,5.978648e+01,2.092527e+01
1.561111e+02,4.000000e-01,1.500378e+01,6.001511e+00,6.195955e+01,2.478382e+01
1.561111e+02,4.500000e-01,1.585788e+01,7.136046e+00,6.589516e+01,2.965282e+01
1.561111e+02,5.000000e-01,1.797195e+01,8.985974e+00,7.404299e+01,3.702149e+01
1.561111e+02,5.500000e-01,nan,nan,nan,nan
1.561111e+02,6.000000e-01,nan,nan,nan,nan
1.561111e+02,6.500000e-01,nan,nan,nan,nan
1.733333e+02,2.000000e-01,2.374158e+01,4.748317e+00,9.353238e+01,1.870648e+01
1.733333e+02,2.500000e-01,2.136390e+01,5.340975e+00,8.543406e+01,2.135851e+01
1.733333e+02,3.000000e-01,2.025411e+01,6.076233e+00,8.241594e+01,2.472478e+01
1.733333e+02,3.500000e-01,1.998245e+01,6.993856e+00,8.249982e+01,2.887494e+01
1.733333e+02,4.000000e-01,2.064925e+01,8.259699e+00,8.549837e+01,3.419935e+01
1.733333e+02,4.500000e-01,2.291042e+01,1.030969e+01,9.393383e+01,4.227022e+01
1.733333e+02,5.000000e-01,nan,nan,nan,nan
1.733333e+02,5.500000e-01,nan,nan,nan,nan
1.733333e+02,6.000000e-01,nan,nan,nan,nan
1.733333e+02,6.500000e-01,nan,nan,nan,nan
1.905556e+02,2.000000e-01,3.103472e+01,6.206945e+00,1.245549e+02,2.491099e+01
1.905556e+02,2.500000e-01,2.806620e+01,7.016550e+00,1.146842e+02,2.867105e+01
1.905556e+02,3.000000e-01,2.674649e+01,8.023947e+00,1.103345e+02,3.310036e+01
1.905556e+02,3.500000e-01,2.692886e+01,9.425102e+00,1.111289e+02,3.889513e+01
1.905556e+02,4.000000e-01,nan,nan,nan,nan
1.905556e+02,4.500000e-01,nan,nan,nan,nan
1.905556e+02,5.000000e-01,nan,nan,nan,nan
1.905556e+02,5.500000e-01,nan,nan,nan,nan
1.905556e+02,6.000000e-01,nan,nan,nan,nan
1.905556e+02,6.500000e-01,nan,nan,nan,nan
2.077778e+02,2.000000e-01,3.993110e+01,7.986220e+00,1.634449e+02,3.268898e+01
2.077778e+02,2.500000e-01,3.635903e+01,9.089758e+00,1.498009e+02,3.745021e+01
2.077778e+02,3.000000e-01,3.543005e+01,1.062901e+01,1.457609e+02,4.372826e+01
2.077778e+02,3.500000e-01,nan,nan,nan,nan
2.077778e+02,4.000000e-01,nan,nan,nan,nan
2.077778e+02,4.500000e-01,nan,nan,nan,nan
2.077778e+02,5.000000e-01,nan,nan,nan,nan
2.077778e+02,5.500000e-01,nan,nan,nan,nan
2.077778e+02,6.000000e-01,nan,nan,nan,nan
2.077778e+02,6.500000e-01,nan,nan,nan,nan
2.250000e+02,2.000000e-01,5.094616e+01,1.018923e+01,2.095911e+02,4.191821e+01
2.250000e+02,2.500000e-01,4.747340e+01,1.186835e+01,1.947490e+02,4.868726e+01
2.250000e+02,3.000000e-01,nan,nan,nan,nan
2.250000e+02,3.500000e-01,nan,nan,nan,nan
2.250000e+02,4.000000e-01,nan,nan,nan,nan
2.250000e+02,4.500000e-01,nan,nan,nan,nan
2.250000e+02,5.000000e-01,nan,nan,nan,nan
2.250000e+02,5.500000e-01,nan,nan,nan,nan
2.250000e+02,6.000000e-01,nan,nan,nan,nan
2.250000e+02,6.500000e-01,nan,nan,nan,nan
